paragraphId,chapterTitle,subChapterTitle,content,summary
1,Objective,,The objective of European Sustainability Reporting Standards (ESRS) is to specify the sustainability information that an undertaking shall disclose in accordance with Directive 2013/34/EU of the European Parliament and of the Council1 as amended by Directive (EU) 2022/2464 of the European Parliament and of the Council. 2 Reporting in accordance with ESRS does not exempt undertakings from other obligations laid down in Union law.,"The European Sustainability Reporting Standards (ESRS) outlines the sustainability information businesses must disclose under certain European directives, but it doesn't free them from other obligations under Union law."
2,Objective,,Specifically ESRS specify the information that an undertaking shall disclose about its material impacts risks and opportunities in relation to environmental social and governance sustainability matters. ESRS do not require undertakings to disclose any information on environmental social and governance topics covered by ESRS when the undertaking has assessed the topic in question as non-material (See Appendix E of this Standard “Flowchart for determining disclosures to be included”).The information disclosed in accordance with ESRS enables users of the sustainability statement to understand the undertaking's material impacts on people and environment and the material effects of sustainability matters on the undertaking's development performance and position.,"ESRS mandates businesses to disclose information about their significant impacts, risks, and opportunities related to environmental, social, and governance sustainability matters, unless deemed non-material, helping users understand the business's significant effects on people and the environment, and how sustainability issues affect the business's growth, performance, and position."
3,Objective,,The objective of this Standard (ESRS 1) is to provide an understanding of the architecture of ESRS the drafting conventions and fundamental concepts used and the general requirements for preparing and presenting sustainability information in accordance with Directive 2013/34/EU as amended by Directive (EU) 2022/2464.,"This Standard (ESRS 1) aims to explain the structure, drafting rules, basic ideas, and the overall guidelines for creating and presenting sustainability information as per Directive 2013/34/EU, updated by Directive (EU) 2022/2464."
4,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,There are three categories of ESRS:\n (a) cross-cutting standards;\n (b) topical standards (Environmental Social and Governance standards); and\n (c) sectorspecific standards. Cross-cutting standards and topical standards are sector-agnostic meaning that they apply to all undertakings regardless of which sector or sectors the undertaking operates in.,"ESRS are divided into three categories: cross-cutting standards, topical standards (Environmental Social and Governance standards), and sector-specific standards, with the first two applying to all sectors."
5,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,The cross-cutting standards ESRS 1 General requirements and ESRS 2 General disclosures apply to the sustainability matters covered by topical standards and sector-specific standards.,The general standards ESRS 1 and ESRS 2 apply to sustainability issues addressed by specific topical and sector standards.
6,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,This standard (ESRS 1) describes the architecture of ESRS standards explains drafting conventions and fundamental concepts and sets out general requirements for preparing and presenting sustainability-related information.,"ESRS 1 is a standard that outlines the structure, basic concepts, drafting rules, and general guidelines for creating and presenting sustainability-related information."
7,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"ESRS 2 establishes Disclosure Requirements on the information that the undertaking shall provide at a general level across all material sustainability matters on the reporting areas governance, strategy, impact, risk and opportunity management and metrics and targets","ESRS 2 sets guidelines for businesses to disclose information on key sustainability issues, covering governance, strategy, impact, risk management, opportunities, and metrics and targets."
8,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,Topical ESRS cover a sustainability topic and are structured into topics and sub-topics and where necessary sub-sub-topics. The table in Application Requirement 16 (AR 16) to this standard provides an overview of the sustainability topics sub-topics and sub-sub-topics (collectively ‘sustainability matters') covered by topical ESRS,"Topical ESRS are organized into topics, sub-topics, and sub-sub-topics related to sustainability, as outlined in Application Requirement 16 (AR 16)."
9,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,Topical ESRS can include specific requirements that complement the general level Disclosure Requirements of ESRS 2. ESRS 2 Appendix C Disclosure/Application Requirements in topical ESRS that are applicable jointly with ESRS 2 General Disclosures provides a list of the additional requirements in topical ESRS that the undertaking shall apply in conjunction with the general level disclosure requirements of ESRS 2.,"Topical ESRS are additional requirements that work together with the general disclosure requirements of ESRS 2, as listed in ESRS 2 Appendix C."
10,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"Sector-specific standards are applicable to all undertakings within a sector. They address impacts, risks and opportunities that are likely to be material for all undertakings in a specific sector and that are not covered or not sufficiently covered by topical standards. Sector-specific standards are multi-topical and cover the topics that are most relevant to the sector in question. Sector-specific standards achieve a high degree of comparability.","Sector-specific standards apply to all businesses in a particular sector, covering relevant topics and risks not sufficiently addressed by topical standards, ensuring comparability across the sector."
11,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.1 Categories of ESRS standards,"In addition to the disclosure requirements laid down in the three categories of ESRS when an undertaking concludes that an impact risk or opportunity is not covered or not covered with sufficient granularity by an ESRS but is material due to its specific facts and circumstances it shall provide additional entity-specific disclosures to enable users to understand the undertaking's sustainability-related impacts, risks or opportunities. Application requirements AR 1 to AR 5 provide further guidance regarding entity-specific disclosures.","If a company finds that a sustainability-related impact, risk, or opportunity isn't adequately covered by an ESRS, it must provide additional specific disclosures, with AR 1 to AR 5 offering further guidance on these disclosures."
12,"1. Categories of ESRS Standards, reporting areas and drafting conventions","1.2 Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics","The Disclosure Requirements in ESRS 2 in topical ESRS and in sector-specific ESRS are structured into the following reporting areas:\n (a) Governance (GOV): the governance processes controls and procedures used to monitor manage and oversee impacts, risks and opportunities (see ESRS 2 chapter 2 Governance);\n (b) Strategy (SBM): how the undertaking's strategy and business model interact with its material impacts risks and opportunities including how the undertaking addresses those impacts risks and opportunities (see ESRS 2 chapter 3 Strategy);\n (c) Impact, risk and opportunity management (IRO): the process(es) by which the undertaking: i. identifies impacts risks and opportunities and assesses their materiality (see IRO-1 in section 4.1 of ESRS 2) ii. manages material sustainability matters through policies and actions (see section 4.2 of ESRS 2).\n (d) Metrics and targets (MT): the undertaking's performance including targets it has set and progress towards meeting them (see ESRS 2 chapter 5 Metrics and targets).","The ESRS 2 disclosure requirements are divided into four reporting areas: Governance (monitoring and managing impacts, risks, and opportunities), Strategy (interaction with impacts, risks, and opportunities), Impact, Risk and Opportunity Management (identification and management of sustainability matters), and Metrics and Targets (performance tracking and goal setting)."
13,"1. Categories of ESRS Standards, reporting areas and drafting conventions","1.2 Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics",ESRS 2 includes:\n (a) in section 4.2 Minimum Disclosure Requirements regarding policies (MDR-P) and actions (MDR-A);\n (b) in section 5 Minimum Disclosure Requirements regarding metrics (MDR-M) and targets (MDRT). The undertaking shall apply the minimum disclosure requirements regarding policies actions metrics and targets together with the corresponding Disclosure Requirements in topical and sector-specific ESRS.,"ESRS 2 outlines minimum disclosure requirements for policies, actions, metrics, and targets, which should be applied along with the corresponding disclosure requirements in topical and sector-specific ESRS."
14,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,In all ESRS:\n (a) the term “impacts” refers to positive and negative sustainability-related impacts that are connected with the undertaking's business as identified through an impact materiality assessment (see section 3.4 Impact materiality). It refers both to actual impacts and to potential future impacts.\n (b) The term “risks and opportunities” refers to the undertaking's sustainability-related financial risks and opportunities including those deriving from dependencies on natural human and social resources as identified through a financial materiality assessment (see section 3.5). Collectively these are referred to as “impacts risks and opportunities” (IROs). They reflect the double materiality perspective of ESRS described in section 3.,"In ESRS, ""impacts"" refer to the positive and negative sustainability-related effects linked to a business, while ""risks and opportunities"" pertain to the financial risks and opportunities related to sustainability, both identified through respective materiality assessments, collectively known as ""impacts risks and opportunities"" (IROs), embodying the double materiality perspective of ESRS."
15,"1. Categories of ESRS Standards, reporting areas and drafting conventions",1.3 Drafting conventions,Throughout ESRS the terms that are defined in the glossary of definitions (Annex II) are put in bold italic except when a defined term is used more than once in the same paragraph.,"In ESRS, terms defined in the glossary (Annex II) are highlighted in bold italic, unless the term is used multiple times in the same paragraph."
