paragraphId,standardName,chapterId,chapterTitle,disclosureRequirement,dataPointType,content
1,ESRS E1,1,Objective,,,The objective of this Standard is to specify Disclosure Requirements which will enable users of sustainability statements to understand:
1a,ESRS E1,1,Objective,,,"how the undertaking affects climate change, in terms of material positive and negative actual and potential impacts;"
1b,ESRS E1,1,Objective,,,"the  undertaking’s  past,  current,  and  future  mitigation  efforts  in  line  with  the  Paris Agreement (or an updated international agreement on climate change) and compatible with limiting global warming to 1.5°C;"
1c,ESRS E1,1,Objective,,,"the plans and capacity of the undertaking to adapt its strategy and business model, in line with the transition to a sustainable economy and to contribute to limiting global warming to 1.5°C;"
1d,ESRS E1,1,Objective,,,"any other actions taken by the undertaking, and the result of such actions to prevent, mitigate or remediate actual or potential negative impacts, and to address risks and opportunities;"
1e,ESRS E1,1,Objective,,,"the nature, type and extent of the undertaking’s material risks and opportunities arising from the undertaking’s impacts and dependencies on climate change, and how the undertaking manages them; and"
1f,ESRS E1,1,Objective,,,"the financial effects on the undertaking over the short-, medium- and long-term of risks and opportunities arising from the undertaking’s impacts and dependencies on climate change."
2,ESRS E1,1,Objective,,,"The Disclosure Requirements of this Standard take into account the requirements of related EU legislation and regulation (i.e., EU Climate Law 1 , Climate eenchmark Standards Regulation, Sustainable Finance Disclosure Regulation (SFDR), EU Taxonomy, and EeA Pillar 3 disclosure requirements)"
3,ESRS E1,1,Objective,,,"This Standard covers Disclosure Requirements related to the following sustainability matters: “Climate change mitigation” and “Climate change adaptation”. It also covers energy-related matters, to the extent that they are relevant to climate change."
4,ESRS E1,1,Objective,,,"Climate change mitigation relates to the undertaking’s endeavours to the general process of limiting the increase in the global average temperature to 1,5 °C above pre-industrial levels in line with the Paris Agreement. This Standard covers disclosure requirements related but not limited to the seven Greenhouse gases (GHG) carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6) and nitrogen trifluoride (NF3). It also covers Disclosure Requirements on how the undertaking addresses its GHG emissions as well as the associated transition risks."
5,ESRS E1,1,Objective,,,Climate change adaptation relates to the undertaking’s process of adjustment to actual and expected climate change.
6,ESRS E1,1,Objective,,,This Standard covers Disclosure Requirements regarding climate-related hazards that can lead to physical climate risks for the undertaking and its adaptation solutions to reduce these risks. It also covers transition risks arising from the needed adaptation to climate- related hazards.
7,ESRS E1,1,Objective,,,The Disclosure Requirements related to “Energy” cover all types of energy production and consumption.
8,ESRS E1,2,Interactions with other ESRS,,,"Ozone-depleting  substances  (ODS),  nitrogen  oxides  (NOX)  and  sulphur  oxides  (SOX), among other  air emissions, are connected to climate change but are covered under the reporting requirements in ESRS E2."
9,ESRS E1,2,Interactions with other ESRS,,,"Impacts on people that may arise from the transition to a climate-neutral economy are covered under the ESRS S1 Own workforce, ESRS S2 Workers in the value chain, ESRS S3 Affected communities and ESRS S4 Consumers and end-users."
10,ESRS E1,2,Interactions with other ESRS,,,"Climate  change  mitigation  and  adaptation  are  closely  related  to  topics  addressed  in particular  in  ESRS  E3  Water  and  marine  resources  and  ESRS  E4  Biodiversity  and ecosystems. With regard to water and as illustrated in the table of climate-related hazards in ecosystems. With regard to water and as illustrated in the table of climate-related hazards in AR 11, this standard addresses acute and chronic physical risks which arise from the water and  ocean-related  hazards.  Biodiversity  loss  and  ecosystem  degradation  that  may  be and  ocean-related  hazards.  Biodiversity  loss  and  ecosystem  degradation  that  may  be caused by climate change are addressed in ESRS E4 Biodiversity and ecosystems."
11,ESRS E1,2,Interactions with other ESRS,,,This Standard should be read and applied in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures.
12,ESRS E1,3,Disclosure Requirements,General disclosures,,"The requirements of this section should be read and applied in conjunction with the disclosures required by ESRS 2 on Chapter 2 Governance, Chapter 3 Strategy and Chapter 4 Impact, risk and  opportunity  management.  The  resulting  disclosures  shall  be  presented  in  the sustainability statement alongside the disclosures required by ESRS 2, except for ESRS 2 business  model, for which the undertaking may, in accordance with ESRS2 paragraph 46, present the disclosures alongside the other disclosures required in this topical standard."
13,ESRS E1,3,Disclosure Requirements,Governance,narrative,"The undertaking shall disclose whether and how climate-related considerations are factored into the remuneration of members of the administrative, management and supervisory bodies, including if their performance has been assessed against the  GHG emission  reduction targets reported under Disclosure Requirement E1-4 and the percentage of the remuneration recognised  in  the  current  period  that  is  linked  to  climate  related  considerations,  with  an explanation of what the climate considerations are."
14,ESRS E1,3,Disclosure Requirements,E1-1,narrative,The undertaking shall disclose its transition plan for climate change mitigation
15,ESRS E1,3,Disclosure Requirements,E1-1,,"The objective of this Disclosure Requirement is to enable an understanding of the undertaking’s past, current, and future mitigation efforts to ensure that its strategy and business model are compatible with the transition to a sustainable economy, and with the limiting of global warming to 1.5 °C in line with the Paris Agreement and with the objective of achieving climate neutrality by 2050 and, where relevant, the undertaking’s exposure to coal, oil and gas-related activities.  "
16,ESRS E1,3,Disclosure Requirements,E1-1,,The information required by paragraph 14 shall include:
16a,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"by reference to GHG emission reduction targets (as required by Disclosure Requirement E1-4), an explanation of how the undertaking’s targets are compatible with the limiting of global warming to 1.5°C in line with the Paris Agreement;"
16b,ESRS E1,3,Disclosure Requirements,E1-1,narrative,"by reference to GHG emission reduction targets (as required by Disclosure Requirement E1-4)  and  the  climate  change  mitigation  actions  (as  required  by  Disclosure Requirement E1-3), an explanation of the decarbonisation levers identified, and key actions planned, including changes in the undertaking’s product and service portfolio and the adoption of new technologies in its own operations, or the upstream and/or downstream value chain;"
